generation,population
1,218721
2,185193
3,182233
4,171314
5,166393
6,158980
7,153473
8,148815
9,144636
10,140685
11,136452
12,133121
13,129678
14,126705
15,124286
16,121278
17,119039
18,116161
19,114434
20,111561
21,109964
22,107590
23,106241
24,104781
25,102249
26,101167
27,98867
28,97647
29,96534
30,94923
31,94187
32,92898
33,91751
34,91008
35,89981
36,88950
37,88155
38,87330
39,86547
40,86201
41,85033
42,84533
43,83926
44,83395
45,82429
46,81717
47,81329
48,80677
49,80045
50,79637
51,78967
52,78274
53,77588
54,77599
55,76807
56,76236
57,75771
58,75276
59,75089
60,74471
61,73835
62,73547
63,73310
64,72906
65,72251
66,71748
67,71481
68,70736
69,70480
70,70171
71,69641
72,69620
73,69068
74,68956
75,68339
76,68549
77,67947
78,67547
79,67055
80,66530
81,66259
82,65625
83,65275
84,64963
85,64749
86,64244
87,64065
88,63769
89,63251
90,62765
91,62784
92,62352
93,62427
94,61974
95,61964
96,62091
97,61880
98,61711
99,61559
100,61213
101,61103
102,60752
103,60710
104,60436
105,60025
106,60048
107,59817
108,59816
109,59883
110,60018
111,59642
112,59713
113,59242
114,59083
115,58591
116,58165
117,57902
118,57811
119,57729
120,57602
121,57288
122,57604
123,57082
124,56657
125,56540
126,55933
127,55764
128,55448
129,55263
130,55148
131,54709
132,54677
133,54734
134,54454
135,54253
136,53680
137,53178
138,52764
139,52435
140,52111
141,51867
142,51614
143,51318
144,51149
145,51218
146,51151
147,50804
148,51030
149,50757
150,50457
151,50265
152,49871
153,49800
154,49793
155,49737
156,49755
157,49500
158,49277
159,49154
160,49234
161,49127
162,48925
163,48940
164,48909
165,49147
166,48666
167,48978
168,48397
169,48700
170,48333
171,48360
172,47975
173,48034
174,47731
175,47399
176,47288
177,47034
178,47387
179,47230
180,47274
181,47210
182,46969
183,46966
184,46629
185,46506
186,46415
187,46158
188,45985
189,46453
190,45919
191,45916
192,45463
193,45406
194,45705
195,45666
196,45875
197,45659
198,45410
199,45529
200,45618
201,45330
202,45502
203,45256
204,45352
205,45738
206,45917
207,45678
208,45612
209,45836
210,45935
211,46212
212,45859
213,45888
214,45834
215,45756
216,45706
217,45365
218,45381
219,45294
220,45106
221,45148
222,45032
223,44729
224,44880
225,45089
226,45085
227,45199
228,44960
229,45188
230,44887
231,45112
232,44912
233,44691
234,45138
235,44984
236,44905
237,44851
238,44766
239,44598
240,44565
241,44370
242,44411
243,44212
244,43856
245,43894
246,43567
247,43807
248,43449
249,43711
250,43468
251,43753
252,43513
253,43485
254,43292
255,43364
256,43439
257,43353
258,43363
259,43094
260,43358
261,42854
262,42900
263,42559
264,42672
265,42092
266,42431
267,42182
268,42350
269,42214
270,42233
271,42190
272,42013
273,41960
274,41958
275,42082
276,42149
277,42100
278,41836
279,41863
280,41606
281,41565
282,41652
283,41624
284,41609
285,41647
286,41434
287,41364
288,41375
289,41327
290,41363
291,41067
292,41090
293,41099
294,41347
295,40789
296,40888
297,40768
298,40926
299,40785
300,40627
301,40655
302,40580
303,40364
304,40503
305,40246
306,40517
307,40411
308,40184
309,40603
310,40370
311,40537
312,40358
313,40521
314,40490
315,40371
316,40553
317,40558
318,40285
319,40268
320,40178
321,39937
322,40256
323,39791
324,39889
325,39883
326,39872
327,39940
328,39792
329,39850
330,39609
331,39340
332,39739
333,39450
334,39177
335,39288
336,39172
337,38949
338,38846
339,38884
340,38967
341,38677
342,38792
343,38471
344,38622
345,38408
346,38298
347,38070
348,38331
349,38245
350,38396
351,38016
352,38177
353,37990
354,37964
355,37989
356,37741
357,37739
358,37680
359,37419
360,37388
361,37375
362,37270
363,37289
364,37192
365,37218
366,37082
367,37153
368,37196
369,37093
370,37250
371,37135
372,37185
373,37081
374,36943
375,37274
376,37208
377,37130
378,37180
379,36920
380,36917
381,36989
382,36940
383,36844
384,37019
385,36573
386,36712
387,36793
388,36740
389,36840
390,36785
391,36952
392,36925
393,36879
394,36872
395,37086
396,37233
397,36957
398,36921
399,36929
400,36716
401,36818
402,36596
403,36741
404,36495
405,36680
406,36618
407,36724
408,36835
409,36728
410,36700
411,36770
412,36670
413,36695
414,36842
415,36981
416,36821
417,36959
418,36740
419,36697
420,36653
421,36400
422,36619
423,36448
424,36441
425,36558
426,36165
427,36318
428,36269
429,36139
430,36081
431,36194
432,36002
433,36015
434,36018
435,36034
436,36085
437,36236
438,36030
439,35947
440,35842
441,35813
442,35728
443,35640
444,35765
445,35504
446,35513
447,35285
448,35240
449,35170
450,35174
451,35005
452,35073
453,35085
454,34736
455,34635
456,34577
457,34708
458,34696
459,34581
460,34255
461,34503
462,34203
463,34224
464,34093
465,34222
466,33994
467,34029
468,34127
469,34150
470,34281
471,34126
472,34283
473,34405
474,34449
475,34299
476,34452
477,34438
478,34238
479,34202
480,34216
481,33859
482,33898
483,33828
484,34066
485,33767
486,33733
487,33798
488,33759
489,33737
490,33778
491,33791
492,33794
493,33794
